Station,Exit,latitude,longitude
SERANGOON MRT STATION,Exit H,36871.5844,32476.9174
SERANGOON MRT STATION,Exit A,36844.3816,32522.6464
SERANGOON MRT STATION,Exit D,36890.814,32563.2161
SERANGOON MRT STATION,Exit C,36967.4979,32493.333
SERANGOON MRT STATION,Exit F,37006.546,32243.5253
LORONG CHUAN MRT STATION,Exit B,37093.9157,31294.1152
LORONG CHUAN MRT STATION,Exit A,37060.8086,31518.404
MARYMOUNT MRT STATION,Exit B,36665.6992,28750.1249
MARYMOUNT MRT STATION,Exit A,36788.9141,28642.0674
DHOBY GHAUT MRT STATION,Exit C,31334.1314,29271.9763
CALDECOTT MRT STATION,Exit 1,35475.8297,28677.5467
EXPO MRT STATION,Exit A,35278.9827,42314.5501
EXPO MRT STATION,Exit B,35271.3781,42329.2774
ADMIRALTY MRT STATION,Exit B,46870.2786,24351.5226
ADMIRALTY MRT STATION,Exit D,46912.4054,24444.0086
ANG MO KIO MRT STATION,Exit C,39051.2977,29783.3548
BAYFRONT MRT STATION,Exit A,29268.4035,30828.2985
BAYFRONT MRT STATION,Exit E,29283.5755,30795.9212
BAYFRONT MRT STATION,Exit D,29474.8399,30913.0921
TAMPINES MRT STATION,Exit B,37293.2771,40438.8485
HOUGANG MRT STATION,Exit C,39350.0682,34527.7475
HOUGANG MRT STATION,Exit A,39136.2997,34580.1353
KOVAN MRT STATION,Exit B,38030.2036,33720.572
KOVAN MRT STATION,Exit C,38010.5658,33801.6845
KOVAN MRT STATION,Exit A,37975.1325,33674.466
EUNOS MRT STATION,Exit A,33531.1416,35743.0776
EUNOS MRT STATION,Exit B,33536.1464,35708.3482
KEMBANGAN MRT STATION,Exit B,33711.9466,36856.5477
KEMBANGAN MRT STATION,Exit A,33686.6972,36861.1994
BEDOK MRT STATION,Exit A,33979.2181,38665.8777
BEDOK MRT STATION,Exit B,34056.5904,38723.2945
ANG MO KIO MRT STATION,Exit B,39078.3657,29811.4912
